MSSubClass,LotFrontage,LotArea,Utilities,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fire0laces,GarageCars,GarageArea,0avedDrive,WoodDeckSF,O0en0orchSF,Enclosed0orch,ThreeSsn0orch,Screen0orch,0oolArea,0oolQC,MiscVal,MoSold,YrSold,SalePrice
60.0,65.0,8450.0,1.0,7.0,5.0,2003.0,2003.0,196.0,706.0,0.0,150.0,856.0,1.0,1.0,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,8.0,0.0,2.0,548.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,208500.0
60.0,68.0,11250.0,1.0,7.0,5.0,2001.0,2002.0,162.0,486.0,0.0,434.0,920.0,1.0,1.0,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,6.0,1.0,2.0,608.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,223500.0
70.0,60.0,9550.0,1.0,7.0,5.0,1915.0,1970.0,0.0,216.0,0.0,540.0,756.0,1.0,1.0,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,7.0,1.0,3.0,642.0,1.0,0.0,35.0,272.0,0.0,0.0,0.0,0.0,0.0,2.0,2006.0,140000.0
60.0,84.0,14260.0,1.0,8.0,5.0,2000.0,2000.0,350.0,655.0,0.0,490.0,1145.0,1.0,1.0,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,9.0,1.0,3.0,836.0,1.0,192.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,250000.0
50.0,85.0,14115.0,1.0,5.0,5.0,1993.0,1995.0,0.0,732.0,0.0,64.0,796.0,1.0,1.0,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,480.0,1.0,40.0,30.0,0.0,320.0,0.0,0.0,0.0,700.0,10.0,2009.0,143000.0
20.0,75.0,10084.0,1.0,8.0,5.0,2004.0,2005.0,186.0,1369.0,0.0,317.0,1686.0,1.0,1.0,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2.0,636.0,1.0,255.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,307000.0
60.0,0.0,10382.0,1.0,7.0,6.0,1973.0,1973.0,240.0,859.0,32.0,216.0,1107.0,1.0,1.0,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,7.0,2.0,2.0,484.0,1.0,235.0,204.0,228.0,0.0,0.0,0.0,0.0,350.0,11.0,2009.0,200000.0
50.0,51.0,6120.0,1.0,7.0,5.0,1931.0,1950.0,0.0,0.0,0.0,952.0,952.0,1.0,1.0,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,2.0,8.0,2.0,2.0,468.0,1.0,90.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,4.0,2008.0,129900.0
190.0,50.0,7420.0,1.0,5.0,6.0,1939.0,1950.0,0.0,851.0,0.0,140.0,991.0,1.0,1.0,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,2.0,1.0,205.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,118000.0
20.0,70.0,11200.0,1.0,5.0,5.0,1965.0,1965.0,0.0,906.0,0.0,134.0,1040.0,1.0,1.0,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,384.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,129500.0
